station name,venue id,venue name,venue address,venue latitude,venue longitude,venue categories
Kornwestheim,59c27739a35dce28bfd0a3b6,Gleis 6/7,Pbf,48.86206,9.180218,Platform
Kornwestheim,4e52879ed4c075ade75c117c,Salamander,,48.77407603679473,9.174236052993058,Shoe Store
Kornwestheim,5883716c3cccc6572fff9445,Bahnhofsplatz,,48.862912,9.181799,Plaza
Kornwestheim,4d5e854be4fe54813cce689e,SALAMANDER Factory Outlet,Stammheimer Straße 10,48.86097927950839,9.1783106145081,Outlet Store
Kornwestheim,56811b39498e1b2ff8489deb,DogMai Thai Massage,Stotzstr. 27,48.861472,9.18157,Massage Studio
Kornwestheim,4c3ef474ed10ef3bcd26b745,TRIGEMA,Stammheimer Str. 10,48.86045766,9.178867,Clothing Store
Neuwirtsh. (Porschep.),4b1c0f7af964a520750124e3,Porsche Museum,Porscheplatz 1,48.83453565988346,9.151869239376408,Museum
Neuwirtsh. (Porschep.),509b9d5ee4b059228d2d6c3a,Porsche Werk 5,Porscheplatz 1,48.83408575921293,9.147127241250738,Factory
Neuwirtsh. (Porschep.),4b962166f964a520bbbd34e3,Porsche HQ,Porscheplatz 1,48.83472403813848,9.151268005371094,Factory
Neuwirtsh. (Porschep.),4c3f1f46db3b1b8dab526695,S Neuwirtshaus (Porscheplatz),Porscheplatz,48.833805959640465,9.152190685272217,Light Rail Station
Neuwirtsh. (Porschep.),50744cbde4b090c6b62a3f98,Porscheplatz,Porscheplatz,48.834741117613305,9.151733609923351,Plaza
Neuwirtsh. (Porschep.),4c46ddeb96abd13a14e06e01,Indian Palace,Steinstr. 11,48.77374815715783,9.176473784770836,Indian Restaurant
Neuwirtsh. (Porschep.),4df9ced245dd2b6764bcc879,Post Stammheim,Marco-Polo-Weg 4,48.8337735,9.1543273,Post Office
Neuwirtsh. (Porschep.),511f51bbe4b02b37a1703224,Porsche Zentrum,Porscheplatz,48.83477228644478,9.151864181147698,Auto Dealership
Neuwirtsh. (Porschep.),5d8cd9aa727d93000760a97b,Porsche Position 2,,48.835392,9.150796,Bus Stop
